"scenario","ID","LID","coor","timeper","rcp","absorp","ww","ttl","h_active","perc_active","h_bask","perc_bask","act_bask_ratio","ndays","nyears","T_loc","T_ref","RH_loc","RH_ref","change_act","change_bask","perc_change_act","perc_change_bask","change_T_loc","change_RH_loc","perc_T_loc","perc_RH_loc"
"2040_2059_RCP45","275","DAR","18.48183333, -33.473","40-59","4.5",0.861640922064713,31.99,212,54,0.1875,88,0.305555555555556,0.613636363636364,12,1,17.9515491925174,16.7326456327987,70.0348374012999,74.6112395857992,6,-2,1.125,0.977777777777778,2.8398325851965,0.426628338520288,1.18792256756726,1.00612899461521
"2040_2059_RCP45","277","DAR","18.48183333, -33.473","40-59","4.5",0.867764988386521,51.94,220,58,0.201388888888889,84,0.291666666666667,0.69047619047619,12,1,17.9515491925174,16.7326456327987,70.0348374012999,74.6112395857992,10,-6,1.20833333333333,0.933333333333333,2.8398325851965,0.426628338520288,1.18792256756726,1.00612899461521
"2040_2059_RCP45","278","DAR","18.48183333, -33.473","40-59","4.5",0.890510570509502,63.2,260,62,0.215277777777778,80,0.277777777777778,0.775,12,1,17.9515491925174,16.7326456327987,70.0348374012999,74.6112395857992,12,-8,1.24,0.909090909090909,2.8398325851965,0.426628338520288,1.18792256756726,1.00612899461521
"2040_2059_RCP45","280","DAR","18.48183333, -33.473","40-59","4.5",0.868544356157645,48.88,256,58,0.201388888888889,84,0.291666666666667,0.69047619047619,12,1,17.9515491925174,16.7326456327987,70.0348374012999,74.6112395857992,10,-6,1.20833333333333,0.933333333333333,2.8398325851965,0.426628338520288,1.18792256756726,1.00612899461521
"2040_2059_RCP45","281","DAR","18.48183333, -33.473","40-59","4.5",0.863004856345143,34.66,235,56,0.194444444444444,86,0.298611111111111,0.651162790697674,12,1,17.9515491925174,16.7326456327987,70.0348374012999,74.6112395857992,8,-4,1.16666666666667,0.955555555555556,2.8398325851965,0.426628338520288,1.18792256756726,1.00612899461521
"2040_2059_RCP45","282","DAR","18.48183333, -33.473","40-59","4.5",0.861157579659448,55.75,250,58,0.201388888888889,84,0.291666666666667,0.69047619047619,12,1,17.9515491925174,16.7326456327987,70.0348374012999,74.6112395857992,10,-6,1.20833333333333,0.933333333333333,2.8398325851965,0.426628338520288,1.18792256756726,1.00612899461521
"2040_2059_RCP45","283","DAR","18.48183333, -33.473","40-59","4.5",0.865887822777168,45.53,250,58,0.201388888888889,84,0.291666666666667,0.69047619047619,12,1,17.9515491925174,16.7326456327987,70.0348374012999,74.6112395857992,10,-6,1.20833333333333,0.933333333333333,2.8398325851965,0.426628338520288,1.18792256756726,1.00612899461521
"2040_2059_RCP45","284","DAR","18.48183333, -33.473","40-59","4.5",0.88734304595682,30.86,205,57,0.197916666666667,85,0.295138888888889,0.670588235294118,12,1,17.9515491925174,16.7326456327987,70.0348374012999,74.6112395857992,10,-6,1.21276595744681,0.934065934065934,2.8398325851965,0.426628338520288,1.18792256756726,1.00612899461521
"2040_2059_RCP45","285","DAR","18.48183333, -33.473","40-59","4.5",0.865321421168191,32.62,215,56,0.194444444444444,86,0.298611111111111,0.651162790697674,12,1,17.9515491925174,16.7326456327987,70.0348374012999,74.6112395857992,8,-4,1.16666666666667,0.955555555555556,2.8398325851965,0.426628338520288,1.18792256756726,1.00612899461521
"2040_2059_RCP45","286","DAR","18.48183333, -33.473","40-59","4.5",0.849165027367256,56.54,267,58,0.201388888888889,84,0.291666666666667,0.69047619047619,12,1,17.9515491925174,16.7326456327987,70.0348374012999,74.6112395857992,10,-6,1.20833333333333,0.933333333333333,2.8398325851965,0.426628338520288,1.18792256756726,1.00612899461521
"2040_2059_RCP45","114","ELB","18.367115, -32.33073","40-59","4.5",0.898868135336079,41.61,220,72,0.25,72,0.25,1,12,1,18.7535637559496,17.828518205517,64.5903845111777,67.8682288915573,2,-2,1.02857142857143,0.972972972972973,1.56547039789541,0.80092643609094,1.09107876977884,1.01255578053584
"2040_2059_RCP45","115","ELB","18.367115, -32.33073","40-59","4.5",0.931913125594032,27.64,210,72,0.25,72,0.25,1,12,1,18.7535637559496,17.828518205517,64.5903845111777,67.8682288915573,2,-2,1.02857142857143,0.972972972972973,1.56547039789541,0.80092643609094,1.09107876977884,1.01255578053584
"2040_2059_RCP45","116","ELB","18.367115, -32.33073","40-59","4.5",0.894837090765235,44.5,230,72,0.25,72,0.25,1,12,1,18.7535637559496,17.828518205517,64.5903845111777,67.8682288915573,1,-1,1.01408450704225,0.986301369863014,1.56547039789541,0.80092643609094,1.09107876977884,1.01255578053584
"2040_2059_RCP45","129","ELB","18.367115, -32.33073","40-59","4.5",0.898737280004088,46.16,245,72,0.25,72,0.25,1,12,1,18.7535637559496,17.828518205517,64.5903845111777,67.8682288915573,0,0,1,1,1.56547039789541,0.80092643609094,1.09107876977884,1.01255578053584
"2040_2059_RCP45","130","ELB","18.367115, -32.33073","40-59","4.5",0.904697476516551,34.71,210,72,0.25,72,0.25,1,12,1,18.7535637559496,17.828518205517,64.5903845111777,67.8682288915573,2,-2,1.02857142857143,0.972972972972973,1.56547039789541,0.80092643609094,1.09107876977884,1.01255578053584
"2040_2059_RCP45","132","ELB","18.367115, -32.33073","40-59","4.5",0.892909497311827,42.04,166,72,0.25,72,0.25,1,12,1,18.7535637559496,17.828518205517,64.5903845111777,67.8682288915573,2,-2,1.02857142857143,0.972972972972973,1.56547039789541,0.80092643609094,1.09107876977884,1.01255578053584
